settlement,district,county ,population,households,land km^2,density km^2,classification
Legacurry ,Lisburn and Castlereagh ,County Down ,123,46,0.09,1338.3,Small village or hamlet 
Creggan-Cranfield ,Antrim and Newtownabbey ,County Antrim ,123,44,0.14,895.36,Small village or hamlet 
Silverbridge ,"Newry, Mourne and Down ",County Armagh ,122,59,0.06,1907.61,Small village or hamlet 
Tamlaght ,Mid Ulster ,County Londonderry ,121,55,0.05,2244.97,Small village or hamlet 
Curran ,Mid Ulster ,County Londonderry ,121,51,0.08,1493,Small village or hamlet 
Ballylesson ,Lisburn and Castlereagh ,County Down ,121,41,0.1,1268.02,Small village or hamlet 
Ballydrain ,Ards and North Down ,County Down ,120,54,0.07,1731.95,Small village or hamlet 
Collegeland ,"Armagh, Banbridge and Craigavon ",County Armagh ,120,47,0.39,311.46,Small village or hamlet 
Ballygalget ,Ards and North Down ,County Down ,119,50,0.05,2192.15,Small village or hamlet 
Sandholes ,Mid Ulster ,County Tyrone ,119,50,0.15,790.35,Small village or hamlet 
Hillhall ,Lisburn and Castlereagh ,County Down ,118,55,0.07,1724.71,Small village or hamlet 
Cushendun ,Causeway Coast and Glens ,County Antrim ,115,53,0.04,2658.82,Small village or hamlet 
Ballyaughlis ,Lisburn and Castlereagh ,County Down ,114,51,0.02,4899.9,Small village or hamlet 
Ashfield / Gowdystown ,"Armagh, Banbridge and Craigavon ",County Down ,114,42,0.09,1276.45,Small village or hamlet 
